"waveid","wavedtlid","print_time","out_scatter_box_count","out_whole_qty"
4409496,9225109,"2024-01-04 11:19:30",1,0
4409496,9225108,"2024-01-04 11:19:56",7,0
4409496,9225110,"2024-01-04 11:20:22",1,0
4409496,9225106,"2024-01-04 11:21:13",1,0
4412665,9231264,"2024-01-04 11:23:50",1,0
4409496,9225112,"2024-01-04 11:24:05",1,0
4409496,9225117,"2024-01-04 11:24:22",1,0
4409496,9225116,"2024-01-04 11:24:37",1,0
4409496,9225150,"2024-01-04 11:24:40",1,0
4412665,9231265,"2024-01-04 11:25:06",1,0
4409496,9225121,"2024-01-04 11:25:32",3,0
4410902,9227633,"2024-01-04 11:26:43",1,0
4409496,9225141,"2024-01-04 11:28:28",3,0
4409496,9225130,"2024-01-04 11:28:42",1,0
4409496,9225118,"2024-01-04 11:29:47",1,0
4409496,9225155,"2024-01-04 11:29:50",1,0
4409496,9225123,"2024-01-04 11:30:07",2,2
4409496,9225128,"2024-01-04 11:30:11",1,0
4409496,9225129,"2024-01-04 11:30:25",1,0
4409496,9225134,"2024-01-04 11:30:29",1,0
4409496,9225132,"2024-01-04 11:31:52",1,0
4409496,9225126,"2024-01-04 11:33:40",1,0
4412665,9231263,"2024-01-04 11:33:43",2,0
4409496,9225143,"2024-01-04 11:33:58",1,0
4409496,9225139,"2024-01-04 11:34:38",5,0
4409496,9225146,"2024-01-04 11:35:50",4,0
4409496,9225154,"2024-01-04 11:35:53",1,0
4409496,9225135,"2024-01-04 11:36:07",1,0
4409496,9225140,"2024-01-04 11:36:10",1,0
4409496,9225152,"2024-01-04 11:36:52",1,0
4409496,9225148,"2024-01-04 11:38:29",3,0
4409496,9225115,"2024-01-04 11:38:55",2,0
4409496,9225124,"2024-01-04 11:39:50",1,0
4412743,9231464,"2024-01-04 11:40:31",1,0
4412743,9231463,"2024-01-04 11:40:48",1,0
4412743,9231462,"2024-01-04 11:42:02",1,0
4409496,9225147,"2024-01-04 12:09:23",3,0
4412743,9231461,"2024-01-04 12:12:52",1,0
4412892,9231827,"2024-01-04 12:15:09",3,0
4409496,9225145,"2024-01-04 12:17:15",11,3
4409496,9225127,"2024-01-04 12:22:11",1,0
4412348,9230674,"2024-01-04 12:53:40",1,0
4409496,9225151,"2024-01-04 13:01:24",3,0
4409496,9225125,"2024-01-04 13:06:30",1,0
4409496,9225137,"2024-01-04 14:10:51",4,0
4411995,9230058,"2024-01-04 14:37:17",1,0
4409496,9225149,"2024-01-04 14:41:05",2,0
4410902,9227632,"2024-01-04 14:50:13",11,0
4413470,9232820,"2024-01-04 14:52:41",1,0
4413468,9232815,"2024-01-04 14:52:55",1,0
4409496,9225144,"2024-01-04 14:53:09",1,0
4409496,9225138,"2024-01-04 14:55:16",0,2
4409496,9225120,"2024-01-04 14:55:31",0,1
4409496,9225136,"2024-01-04 14:55:34",4,1
4411995,9230059,"2024-01-04 14:59:33",1,0
4409496,9225142,"2024-01-04 15:05:57",1,0
4409496,9225153,"2024-01-04 15:17:28",1,0
4413063,9232129,"2024-01-04 16:30:16",1,0
4412199,9230378,"2024-01-04 16:34:29",1,0
4412199,9230379,"2024-01-04 16:35:49",1,0
4412199,9230381,"2024-01-04 16:36:49",1,0
4413063,9232132,"2024-01-04 16:38:12",2,0
4413788,9233426,"2024-01-04 16:39:39",0,64
4413063,9232141,"2024-01-04 16:43:04",1,0
